key,emoji,次数,文本汇总,建议icon
nav-books,📚,9,书籍/流派/共X本书/掉书袋/作品/暂无简介/空状态,book / library
nav-authors,✒️,3,哲人/共X位哲人,pen / quill
nav-genealogy,🧬,2,谱系,dna / tree
nav-qa,💬,7,问答/AI伴读/AI按钮/AI侧栏/条对话/聊天历史,message-circle / chat
nav-games,🎮,3,游戏,gamepad
theme-light,☀️,1,亮色模式,sun
theme-dark,🌙,1,暗色模式,moon
mode-desktop,💻,1,桌面版,monitor
mode-mobile,📱,2,手机版/关于,phone / smartphone
btn-settings,⚙️,2,设置/设置按钮,settings / gear
btn-user,👤,4,个人中心/登录/注册/已登录头像,user / person
region-east,☯,5,东方/东方哲学,yinyang / circle
region-west,🏛,6,西方/西方哲学,temple / landmark
region-world,🌍,5,世界/世界哲学,globe
icon-search,🔍,2,搜索/检索相关文献,search
icon-east-pagoda,🏯,1,东方哲学,pagoda / temple
icon-file-size,📦,1,文件大小,package / file
icon-edit,📝,4,暂无简介/批注/阅读批注,edit / file-text
icon-book-open,📖,15,打开阅读/收录N部/作品项/分析文档/条阅读/答案之书/阅读历史,book-open
icon-tip,💡,2,提示,lightbulb / info
icon-error,😞,3,加载失败/错误,alert-circle / frown
icon-toc,📑,2,目录,list / book-marked
icon-close,✕,3,关闭,x / close
icon-save,💾,3,保存,save / download
icon-clipboard,📋,4,复制/测试说明/50道题,clipboard / copy
icon-trash,🗑,3,清空/新对话,trash
icon-link,📎,3,参考文献,paperclip / link
icon-scroll,📜,1,翻书动画,scroll
icon-sparkles,✨,1,获取我的答案,sparkles / magic
icon-candle,🕯️,3,等待/酝酿,candle / loader
icon-refresh,🔄,5,同步/重测/再问/再测,refresh
icon-brain,🧠,3,PHTI,brain
icon-crazy,🤪,3,PHTI沙雕版,crazy / smile
icon-rocket,🚀,1,开始测试,rocket / play
icon-thumbs-down,👎,2,完全不同意/完全不,thumbs-down
icon-thumbs-up,👍,2,比较同意/有点,thumbs-up
icon-question,🤔,2,不太同意/不太,help-circle
icon-neutral,😐,2,中立/随便,meh / minus
icon-perfect,💯,2,完全同意/太对了,award / check
icon-flame,🔥,5,AI毒舌锐评/燃烧的殉道者,flame / zap
icon-drama,🎭,2,16种沙雕/精致的享乐主义者,masks / drama
icon-sun,🌞,1,晒太阳,sun
icon-lock,🚧,1,即将上线,construction / lock
icon-cloud,☁️,1,数据已云端同步,cloud
icon-lock-key,🔐,1,登录/注册,lock / key
icon-check,✅,1,已保存,check-circle
icon-bot,🤖,1,AI配置,bot / cpu
icon-flashlight,🔦,1,洞穴保安,flashlight
icon-zombie,🧟,1,冥想僵尸,zombie
icon-coaster,🎢,1,螺旋滑梯,roller-coaster
icon-hammer,🔨,1,锤子砸脚,hammer
icon-parachute,🪂,1,信仰跳楼,parachute
icon-calc,🧮,1,快乐计算器,calculator
icon-car,🚗,1,副驾驶,car
icon-slot,🎰,1,因果彩票,slot-machine
icon-lion,🦁,1,办公室丛林,lion
icon-bucket,🪣,1,木桶VIP,bucket
icon-cat,🐱,1,斯宾诺莎的猫,cat
icon-eye,👀,1,他人地狱,eye
icon-leaf,🌿,2,逆行自然人/沉静的修行者,leaf
icon-zip-mouth,🤐,1,已读不回,zipper-mouth
icon-microscope,🔬,1,社会工程师,microscope
icon-landmark,🏛️,1,立法者,landmark
icon-ice,🧊,1,冷静的观察者,ice
icon-cog,⚙️,1,责任机器,cog
icon-target,🎯,1,精算师,target
icon-mountain,🏔️,1,山顶的隐士,mountain
icon-wine,🍷,1,品鉴家,wine
icon-handshake,🤝,1,温暖的守护者,handshake
icon-tent,🎪,1,快乐的织网者,tent
icon-rainbow,🌈,1,诗意的漫步者,rainbow
icon-party,🎉,1,盛宴的主持人,party
icon-moon-night,🌑,1,暗夜的行者,moon
icon-butterfly,🦋,1,美的游牧者,butterfly
icon-calendar,📅,1,年代,calendar
icon-pin,📍,1,国家,map-pin / flag
icon-writing,✍️,1,组织回答,edit
icon-thinking,💭,1,深度思考中,brain
